ops	steps	M	K	N	zone
5677	437520	201	6	96	1,2,1,2
5691	439124	201	6	97	1,2,1,1,1
5708	440756	201	6	98	1,1,1,1,2
5722	442392	201	6	99	1,1,1,1,1,1
5737	444048	201	6	100	1,1,1,1,2
5751	445716	201	6	101	1,1,1,2,1
5767	447416	201	6	102	1,1,1,3
5781	449116	201	6	103	1,1,1,1,1,1
5796	450836	201	6	104	1,1,1,1,2
5810	452568	201	6	105	1,1,1,1,1,1
5827	454328	201	6	106	1,1,1,1,2
5841	456092	201	6	107	1,1,1,1,1,1
5856	457876	201	6	108	1,1,2,2
5870	459672	201	6	109	1,1,3,1
5887	461508	201	6	110	2,4
5901	463336	201	6	111	2,2,1,1
5916	465184	201	6	112	2,1,1,2
5930	467044	201	6	113	2,1,1,1,1
5947	468932	201	6	114	2,1,1,2
5961	470824	201	6	115	2,1,1,1,1
5976	472736	201	6	116	2,1,1,2
5990	474660	201	6	117	2,1,2,1
6006	476616	201	6	118	2,1,3
6020	478572	201	6	119	2,1,1,1,1
6035	480548	201	6	120	2,1,1,2
6049	482536	201	6	121	2,1,1,1,1
6066	484552	201	6	122	3,1,2
6080	486572	201	6	123	3,1,1,1
6095	488612	201	6	124	4,2
6109	490664	201	6	125	5,1
6128	492776	201	6	126	6
6142	494860	201	6	127	4,1,1
6157	496964	201	6	128	3,1,2
6171	499080	201	6	129	3,1,1,1
6188	501224	201	6	130	2,1,1,2
6202	503372	201	6	131	2,1,1,1,1
6217	505540	201	6	132	2,1,1,2
6231	507720	201	6	133	2,1,2,1
6247	509932	201	6	134	2,1,3
6261	512144	201	6	135	2,1,1,1,1
6276	514376	201	6	136	2,1,1,2
6290	516620	201	6	137	2,1,1,1,1
6307	518892	201	6	138	2,1,1,2
6321	521168	201	6	139	2,1,1,1,1
6336	523464	201	6	140	2,2,2
6350	525772	201	6	141	2,3,1
6367	528120	201	6	142	1,1,4
6381	530460	201	6	143	1,1,2,1,1
6396	532820	201	6	144	1,1,1,1,2
6410	535192	201	6	145	1,1,1,1,1,1
6427	537592	201	6	146	1,1,1,1,2
6441	539996	201	6	147	1,1,1,1,1,1
6456	542420	201	6	148	1,1,1,1,2
6470	544856	201	6	149	1,1,1,2,1
6486	547324	201	6	150	1,1,1,3
6500	549792	201	6	151	1,1,1,1,1,1
6515	552280	201	6	152	1,1,1,1,2
6529	554780	201	6	153	1,1,1,1,1,1
6546	557308	201	6	154	1,2,1,2
6560	559840	201	6	155	1,2,1,1,1
6575	562392	201	6	156	1,3,2
6589	564956	201	6	157	1,4,1
6607	567564	201	6	158	1,5
6621	570160	201	6	159	1,3,1,1
6636	572776	201	6	160	1,2,1,2
6650	575404	201	6	161	1,2,1,1,1
6667	578060	201	6	162	1,1,1,1,2
6681	580720	201	6	163	1,1,1,1,1,1
6696	583400	201	6	164	1,1,1,1,2
6710	586092	201	6	165	1,1,1,2,1
6726	588816	201	6	166	1,1,1,3
6740	591540	201	6	167	1,1,1,1,1,1
6755	594284	201	6	168	1,1,1,1,2
6769	597040	201	6	169	1,1,1,1,1,1
6786	599824	201	6	170	1,1,1,1,2
6800	602612	201	6	171	1,1,1,1,1,1
6815	605420	201	6	172	1,1,2,2
6829	608240	201	6	173	1,1,3,1
6846	611100	201	6	174	1,1,4
6860	613952	201	6	175	1,1,2,1,1
6875	616824	201	6	176	1,1,1,1,2
6889	619708	201	6	177	1,1,1,1,1,1
6906	622620	201	6	178	1,1,1,1,2
6920	625536	201	6	179	1,1,1,1,1,1
6935	628472	201	6	180	1,1,1,1,2
6949	631420	201	6	181	1,1,1,2,1
6965	634400	201	6	182	1,1,1,3
